Slice,Count,Total Area,Average Size,%Area,Mean
BOIN_P1_1,1,3.396,3.396,1.65,254.969
BOIN_P2_1,1,1.315,1.315,0.639,254.913
BOIN_P3_1,1,3.243,3.243,1.576,254.987
BOIN_P4_1,1,1.878,1.878,0.913,254.925
BOIN_P5_1,1,2.364,2.364,1.149,254.985
BOIN_P6_1,1,4.226,4.226,2.054,254.997
BOIN_P7_1,1,3.417,3.417,1.661,254.953
BOIN_P8_1,1,3.372,3.372,1.639,254.982
BOIN_P1_2,1,2.75,2.75,1.557,254.998
BOIN_P2_2,1,1.46,1.46,0.827,254.89
BOIN_P3_2,1,1.788,1.788,1.012,254.982
BOIN_P4_2,1,1.532,1.532,0.867,254.931
BOIN_P5_2,1,2.035,2.035,1.152,254.832
BOIN_P6_2,1,5.879,5.879,3.328,253.533
BOIN_P7_2,1,3.164,3.164,1.791,254.913
BOIN_P8_2,1,2.636,2.636,1.492,254.993
BOIN_P1_3,1,3.959,3.959,2.162,254.972
BOIN_P2_3,1,1.892,1.892,1.033,254.966
BOIN_P3_3,1,2.368,2.368,1.293,254.95
BOIN_P4_3,1,1.847,1.847,1.008,254.993
BOIN_P5_3,1,2.22,2.22,1.212,254.749
BOIN_P6_3,1,1.599,1.599,0.873,254.971
BOIN_P7_3,1,3.662,3.662,2,254.986
BOIN_P8_3,1,3.868,3.868,2.112,254.965