Origin,Life Form,Abundance Metric 2007,Abundance Metric 2008,Peak Flowering,standard_binomial,max_height,seed_mass,SLA,USDA_symbol
Native,Forb,0.115,0.188,5.5,Agoseris heterophylla,13,7.56e-4,306.794,AGHE2
Native,Forb,-0.105,-1.325,6,Amsinckia menziesii,50.8,0.0024,102.14,AMME
Exotic,Forb,0.04,0.005,4,Anagallis arvensis,22.5,5.24e-4,330.787,ANAR
Native,Forb,NA,0.506,5,Astragalus gambelianus,16,9.23e-4,132.6,ASGA
Exotic,Grass,-2.655,-4.966,4.75,Avena fatua,60,0.0074800000000000005,156.891,AVFA
Exotic,Grass,-29.98,-32.538,4.5,Bromus diandrus,47.5,0.0154,175.189,BRDI3
Exotic,Grass,-2.235,1.6,4.5,Bromus hordeaceus,38,0.00325,132.765,BRHO2
Exotic,Grass,-1.675,-0.892,4.5,Bromus madritensis,30,0.003112,158.334,BRMA3
Native,Forb,-0.005,-0.09,3.5,Calandrinia ciliata,22.8,4.84e-4,NA,CACI2
Exotic,Forb,-1.221,-0.015,5,Carduus pycnocephalus,110.00000000000001,0.00549,213.2,CAPY2
Native,Forb,0.03,0.441,4,Castilleja exserta,24.13,1.57e-4,319.6596,CAEX14
Exotic,Forb,-0.1,-0.198,5.5,Centaurea melitensis,55.00000000000001,0.00134,149.754,CEME2
Native,Forb,0.124,0.542,6,Chlorogalum pomeridianum,45,0.00873,NA,CHPO3
Native,Forb,0.171,0.271,5,Clarkia purpurea,50,4.6800000000000005e-4,148.4,CLPU2
Native,Forb,0.035,0.681,3.5,Crassula connata,4,1.4e-5,362.213,CRCO34
Native,Forb,0.005,0.126,4,Dichelostemma capitatum,48.3,NA,145.4,DICA14
Native,Forb,0.109,0.316,3,Dodecatheon clevelandii,28.499999999999996,0.00111,177.451,DOCL
Exotic,Forb,1.048,-2.238,3.5,Erodium cicutarium,30,0.00337,193.485,ERCI6
Exotic,Forb,-0.02,-0.764,5.5,Erodium moschatum,35,0.0019399999999999999,227.527,ERMO7
Native,Forb,-0.264,-0.28,7.5,Croton setigerus,10,0.007940000000000001,NA,CRSE11
Exotic,Forb,0.061,0.01,4.5,Logfia gallica,19.05,2.08e-4,252.0658,LOGA2
Native,Forb,-0.016,-0.074,5,Galium aparine,60,0.0043333,188.9372,GAAP2
Native,Forb,-0.01,-0.005,6.5,Galium porrigens,105,0.0015,193.1606,GAPO
Exotic,Grass,0.051,NA,NA,Gastridium phleoides,25,3.7e-5,NA,GAPH2
Exotic,Forb,0.005,NA,5,Geranium dissectum,10,0.00219,229.412,GEDI
Native,Forb,NA,0.322,4,Gilia clivorum,18,NA,150.4411,GICL
Exotic,Grass,-2.26,0.101,3.5,Hordeum murinum,60,0.0026,237.2573,HOMU
Exotic,Forb,0.678,0.186,4.5,Hypochaeris glabra,6,5.71e-4,292.7344,HYGL2
Native,Forb,0.08,0.416,4,Lasthenia californica,16.509999999999998,1.48e-4,163.7539,LACA7
Native,Forb,0.005,0.016,7,Lagophylla ramosissima,55.00000000000001,0.00166,NA,LARA
Exotic,Forb,-0.134,-0.174,7,Lactuca serriola,100,4.17e-4,283.3725,LASE
Native,Forb,0.744,0.491,9,Corethrogyne filaginifolia,50,0.0023,209.3648,COFI2
Native,Forb,0.03,0.367,2.5,Lepidium nitidum,22.86,7.89e-4,142.5067,LENI
Exotic,Grass,0.015,NA,NA,Lolium perenne,60,0.0020499999999999997,134,LOPE
Native,Forb,0.06,0.16,3.5,Lomatium utriculatum,24.13,0.00894,114.7213,LOUT
Native,Forb,0.005,-0.005,7,Lotus americanus,32.5,0.00509,164.3298,LOAM5
Native,Forb,0.075,0.676,4.5,Lotus humistratus,12.7,0.00261,132.7015,LOHU2
Native,Forb,NA,0.02,4.5,Lotus strigosus,26.5,0.00294,NA,LOST4
Native,Forb,0.01,0,4.5,Lupinus bicolor,25,NA,149.1679,LUBI
Native,Forb,-0.005,-1.928,3.5,Lupinus nanus,25,0.009869999999999999,152.4158,LUNA3
Exotic,Forb,-0.044,-0.015,5,Medicago polymorpha,30,0.00367,207.8497,MEPO3
Native,Forb,0.217,0.161,4,Micropus californicus,14.000000000000002,0.0019399999999999999,208.5118,MICA
Native,Forb,0.05,0.01,5.5,Microseris douglasii,14.000000000000002,NA,NA,MIDO
Native,Grass,40.404,38.811,4.5,Stipa pulchra,65,0.004030000000000001,53.70594,STPU2
Native,Forb,0.782,5.976,5.5,Navarretia mitracarpa,11.5,2.24e-4,151.8244,NAMI4
Native,Forb,3.636,2.391,4,Plantago erecta,8,0.00136,139.1996,PLER3
Native,Forb,-0.374,-4.122,4,Plagiobothrys nothofulvus,45,0.0012900000000000001,200.1134,PLNO
Native,Grass,-0.02,0.01,5,Poa secunda,57.49999999999999,3.25e-4,NA,POSE
Exotic,Forb,0.217,0.733,5,Silene gallica,25,3.17e-4,188.1337,SIGA
Native,Forb,0.061,0.025,4,Sisyrinchium bellum,30.48,0.00244,116.727,SIBE
Exotic,Forb,-0.01,NA,NA,Sonchus sp.,75,2.8000000000000003e-4,313.165,NA
Exotic,Forb,0.005,NA,5.5,Stellaria media,28.499999999999996,5.26e-4,NA,STME2
Native,Forb,-0.1,-0.335,4,Thysanocarpus curvipes,47.5,0.00141,184.4795,THCU
Native,Forb,NA,0.12,8.5,Trichostema lanceolatum,38.1,0.00226,205.0004,TRLA4
Native,Forb,0.02,-0.051,4.5,Trifolium albopurpureum,25.4,0.002,148.4107,TRAL5
Native,Forb,NA,-0.204,4.5,Trifolium ciliolatum,29.2,0.00379,184.3264,TRCI
Native,Forb,0.01,0.039,5,Trifolium depauperatum,15.24,3.8500000000000003e-4,NA,TRDE
Native,Forb,NA,1.965,5,T. depauperatum var. truncatum,4.6,7.57e-4,NA,NA
Native,Forb,-0.025,0.01,4.5,Trifolium gracilentum,24.13,9.59e-4,194.8878,TRGR2
Native,Forb,-0.01,0.005,6,Trifolium microcephalum,16.509999999999998,5.85e-4,167.314,NA
Native,Forb,0.01,NA,4,Tropidocarpum gracile,30,NA,NA,TRGR5
Native,Forb,NA,0.038,4.5,Uropappus lindleyi,37.5,0.003,217.6302,URLI5
Native,Forb,-0.046,-0.419,3,Viola pedunculata,7.5,0.00393,99.98654,VIPE3
Exotic,Grass,0.468,0.556,4,Festuca myuros,37.5,3.3329999999999997e-4,128.0367,FEMY2
Native,Forb,0,-0.08,5,Yabea microcarpa,21.5,0.005,214.3135,YAMI
