sequence,species,individual,leaf,osmotic_potential,tlp
1,LACA,1,1,608,-1.89564
2,LACA,1,2,621,-1.92268
3,LACA,2,1,556,-1.78748
4,LACA,2,2,571,-1.81868
5,LACA,3,1,361,-1.38188
6,LACA,4,1,439,-1.54412
7,LACA,4,2,450,-1.567
8,LACA,4,3,439,-1.54412
9,MICA,1,1,295,-1.2446
10,MICA,3,1,394,-1.45052
11,MICA,2,1,452,-1.57116
12,MICA,1,2,267,-1.18636
13,MICA,3,2,356,-1.37148
14,MICA,4,1,481,-1.63148
15,MICA,2,2,371,-1.40268
16,AGHE,1,1,364,-1.38812
17,AGHE,1,2,369,-1.39852
18,MICA,4,2,479,-1.62732
19,AGHE,2,1,341,-1.34028
20,AGHE,2,2,416,-1.49628
21,AGHE,3,2,408,-1.47964
22,AGHE,4,1,269,-1.19052
23,AGHE,3,1,332,-1.32156
24,AGHE,4,2,304,-1.26332
25,EUPE,3,1,641,-1.96428
26,EUPE,3,2,673,-2.03084
27,EUPE,2,1,560,-1.7958
28,EUPE,4,2,610,-1.8998
29,EUPE,1,1,623,-1.92684
30,EUPE,2,2,555,-1.7854
31,EUPE,1,2,613,-1.90604
32,ANAR,4,1,363,-1.38604
33,ANAR,3,1,390,-1.4422
34,ANAR,3,2,412,-1.48796
35,ANAR,4,2,381,-1.42348
36,ANAR,2,1,374,-1.40892
37,ANAR,1,2,387,-1.43596
38,ANAR,1,1,400,-1.463
39,ANAR,2,2,409,-1.48172
40,LOWR,3,1,522,-1.71676
41,LOWR,2,1,520,-1.7126
42,LOWR,2,2,577,-1.83116
43,LOWR,3,2,493,-1.65644
44,EUPE,4,2,679,-2.04332
45,LOWR,4,1,433,-1.53164
46,LOWR,1,1,640,-1.9622
47,LOWR,4,2,518,-1.70844
48,LOWR,1,2,648,-1.97884
52,MEPO,3,1,605,-1.8894
54,MEPO,4,1,599,-1.87692
55,MEPO,4,2,613,-1.90604
56,MEPO,3,2,590,-1.8582
57,SACO,1,1,290,-1.2342
58,SACO,3,1,288,-1.23004
59,SACO,2,1,248,-1.14684
60,SACO,4,1,335,-1.3278
61,SACO,4,2,268,-1.18844
62,SACO,3,2,275,-1.203
62,SACO,1,2,367,-1.39436
63,SACO,2,2,236,-1.12188
64,PLER,1,1,547,-1.76876
65,PLER,1,2,516,-1.70428
66,PLER,3,1,577,-1.83116
67,PLER,2,1,502,-1.67516
68,PLER,3,2,454,-1.57532
69,PLER,2,2,471,-1.61068
70,PLER,4,1,496,-1.66268
71,PLER,4,2,495,-1.6606
72,AMME,1,1,314,-1.28412
73,AMME,2,1,351,-1.36108
74,AMME,2,2,323,-1.30284
75,AMME,1,2,292,-1.23836
76,AMME,3,1,270,-1.1926
77,AMME,3,2,261,-1.17388
78,AMME,4,1,215,-1.0782
79,AMME,4,2,259,-1.16972
80,MEPO,5,1,588,-1.85404
81,MEPO,5,2,507,-1.68556
82,MEPO,6,1,592,-1.86236
83,MEPO,6,2,556,-1.78748
84,CLPU,4,1,381,-1.42348
85,CLPU,1,1,323,-1.30284
86,CLPU,4,1,309,-1.27372
87,CLPU,3,1,332,-1.32156
88,CLPU,2,1,321,-1.29868
89,CLPU,1,2,343,-1.34444
90,CLPU,3,2,282,-1.21756
91,CLPU,2,2,311,-1.27788
92,CLBO,2,1,378,-1.41724
93,CLBO,4,1,479,-1.62732
94,CLBO,2,2,410,-1.4838
95,CLBO,1,1,573,-1.82284
96,CLBO,3,1,389,-1.44012
97,CLBO,4,2,441,-1.54828
98,CLBO,3,2,421,-1.50668
99,CLBO,4,1,543,-1.76044
100,LOPU,1,1,518,-1.70844
101,LOPU,4,1,508,-1.68764
102,LOPU,3,1,552,-1.77916
103,LOPU,1,2,522,-1.71676
104,LOPU,3,2,544,-1.76252
105,LOPU,4,2,579,-1.83532
106,LOPU,2,1,621,-1.92268
107,CHPA,1,1,389,-1.44012
108,CHPA,2,1,465,-1.5982
109,CHPA,2,2,465,-1.5982
110,CHPA,4,1,500,-1.671
111,CHPA,4,2,485,-1.6398
112,LOPU,2,2,562,-1.79996
113,CHPA,1,2,365,-1.3902
114,CHPA,3,1,503,-1.67724
115,CEME,2,1,446,-1.55868
116,CEME,2,2,455,-1.5774
117,CEME,1,1,450,-1.567
118,CHPA,3,2,525,-1.723
119,CEME,1,2,436,-1.53788
120,CEME,3,1,380,-1.4214
121,CEME,3,2,380,-1.4214
122,CEME,4,1,452,-1.57116
123,CEME,4,2,463,-1.59404
124,HECO,1,1,512,-1.69596
127,HECO,1,2,491,-1.65228
128,HECO,3,1,521,-1.71468
129,HECO,3,2,497,-1.66476
130,HECO,4,1,401,-1.46508
131,HECO,4,2,324,-1.30492
132,NAAT,1,1,608,-1.89564
133,NAAT,3,1,479,-1.62732
134,NAAT,1,2,546,-1.76668
135,NAAT,2,1,553,-1.78124
136,NAAT,4,1,486,-1.64188
137,NAAT,4,2,480,-1.6294
138,NAAT,3,2,448,-1.56284
139,HECO,5,1,594,-1.86652
140,HECO,5,2,535,-1.7438
141,ERCI,1,1,711,-2.10988
142,ERCI,2,1,512,-1.69596
143,ERCI,2,2,517,-1.70636
144,ERCI,3,1,520,-1.7126
145,ERCI,3,2,422,-1.50876
146,ERCI,4,1,525,-1.723
147,ERCI,4,2,613,-1.90604
148,ERCI,5,1,624,-1.92892
149,ERCI,5,2,504,-1.67932
150,BRMA,1,2,736,-2.16188
151,BRMA,3,1,645,-1.9726
152,BRMA,3,2,624,-1.92892
153,BRMA,1,1,676,-2.03708
154,BRMA,2,2,532,-1.73756